Name,Grade Level,PhysicsScore,BiologyScore,MathematicsScore,EnglishScore,SportsParticipation,SportsAchievements,ExtracurricularActivities,LeadershipRole,CareerAspiration,STEMPathway
Kennedy Akinyi, 7,58,91,65,93,1,County Level,Debate Club,,Athlete,1
Andrew Otieno, 9,82,82,,57,1,School Level,Science Club,,Engineer,0
Ann Kamau, 6,84,95,79,91,0,0ne,Debate Club,Club Leader,Accountant,0
Lucy Rono, 8,92,,60,53,0,School Level,0ne,Club Leader,Surgeon,0
Agnes Otieno, 7,55,56,77,68,1,County Level,Drama Club,,Doctor,0
Stella Rono, 12,96,59,56,93,1,National Level,Debate Club,Club Leader,Teacher,1
Irene Davis, 10,93,88,62,68,0,0ne,Science Club,Class Representative,Accountant,0
Alex Onyango, 11,,80,78,,0,County Level,Art Club,Club Leader,Artist,0
Nelson Chege, 10,57,,94,58,1,0ne,Music Club,,Pilot,0
Esther Mutiso, 6,65,71,75,83,1,School Level,Debate Club,Club Leader,Pilot,0
Rose Mwikali, 12,75,,62,91,0,National Level,Art Club,Club Leader,Surgeon,1
John Koome, 12,76,78,60,82,0,County Level,Art Club,Class Representative,Accountant,0
Stella Rono, 7,71,80,83,,1,National Level,Music Club,Class Representative,Musician,1
Brenda Kibera, 6,64,93,79,64,1,National Level,Science Club,Class Representative,Doctor,1
Jacinta Kiplangat, 11,,70,62,54,0,0ne,Debate Club,,Artist,0
James Atieno, 10,56,,71,97,0,School Level,Art Club,Class Representative,Accountant,0
Joseph Koome, 10,58,100,61,79,0,School Level,0ne,Class Representative,Teacher,0
Eliud Mutua, 10,97,73,59,91,0,County Level,Debate Club,Club Leader,Pharmacist,1
Rose Rono, 7,,87,83,81,0,County Level,0ne,Club Leader,Doctor,1
Ian Kimeu, 6,68,75,,92,0,County Level,Art Club,Class Representative,Data Scientist,1
Dorcas Rono, 9,,,,63,0,County Level,0ne,Club Leader,Doctor,1
Linet Nduati, 10,60,54,56,72,0,School Level,Art Club,Class Representative,Doctor,0
Tom Wamuyu, 8,52,86,68,93,0,National Level,0ne,Club Leader,Data Scientist,0
Faith Davis, 7,70,58,77,97,1,0ne,Debate Club,,Artist,1
Nelson Chirchir, 11,54,82,51,96,0,County Level,0ne,,Musician,1
Martin Chirchir, 10,,50,67,100,0,National Level,0ne,,Teacher,0
Eliud Kimeu, 11,100,92,88,81,0,0ne,Science Club,Club Leader,Artist,1
Joseph Kirui, 9,,77,96,61,1,National Level,Debate Club,,Doctor,0
Mary Rono, 12,61,58,93,61,1,School Level,0ne,Club Leader,Musician,1
Susan Nyambura, 9,99,64,95,56,1,National Level,Science Club,,Artist,1
Jacinta Koome, 8,69,71,,99,1,County Level,Science Club,,Lawyer,1
Faith Wamuyu, 6,73,76,52,72,1,County Level,Science Club,Class Representative,Engineer,1
Elijah Akinyi, 9,56,81,52,75,1,National Level,Science Club,,Musician,0
Kevin Mutua, 6,56,75,,,1,County Level,Music Club,,Accountant,0
Ian Kilonzo, 6,89,72,91,82,1,0ne,Art Club,,Engineer,0
Paul Nduati, 7,64,,58,89,1,School Level,Art Club,,Lawyer,0
Mary Juma, 9,62,,85,67,1,National Level,Art Club,Club Leader,Surgeon,1
Ann Simiyu, 8,81,62,,86,0,National Level,Debate Club,,Teacher,1
Charles Akinyi, 10,90,65,63,61,1,National Level,Drama Club,,Artist,0
Martin Kirui, 10,70,58,82,90,1,0ne,Debate Club,Club Leader,Pharmacist,1
Joseph Koome, 9,77,70,92,100,1,0ne,Science Club,,Teacher,1
David Wamuyu, 6,61,94,70,89,0,National Level,Debate Club,Club Leader,Pilot,1
Mary Muthama, 7,87,73,50,67,1,County Level,Music Club,,Data Scientist,0
David Achieng, 7,70,57,61,55,1,National Level,Debate Club,Class Representative,Pilot,0
Alex Kariuki, 8,77,100,78,73,0,0ne,Science Club,Club Leader,Athlete,0
Mercy Doe, 9,87,51,,90,1,0ne,Drama Club,Club Leader,Artist,1
Mercy Davis, 7,99,75,61,66,1,0ne,0ne,,Musician,0
Mary Kilonzo, 12,72,96,87,91,0,National Level,Science Club,Club Leader,Engineer,0
Francis Muthama, 11,74,68,93,83,0,School Level,Music Club,Club Leader,Lawyer,0
Peter Kigen, 12,55,68,92,,1,0ne,Science Club,Club Leader,Doctor,1
Agnes Juma, 10,100,98,63,,1,County Level,Science Club,Club Leader,Data Scientist,1
Sarah Kiplangat, 9,90,72,95,82,1,School Level,Drama Club,,Engineer,0
John Doe, 10,90,96,83,100,0,School Level,Drama Club,Club Leader,Surgeon,0
Andrew Ochieng, 6,57,,86,71,1,School Level,Debate Club,Club Leader,Musician,0
Mary Wanjiku, 12,70,67,89,56,1,School Level,0ne,Club Leader,Artist,1
Paul Ochieng, 8,87,97,99,64,1,0ne,Drama Club,Class Representative,Engineer,0
Dennis Oduor, 10,71,87,,,1,National Level,Drama Club,,Accountant,1
John Kiprop, 12,94,70,61,68,1,County Level,0ne,,Doctor,0
Rose Mwende, 7,53,85,95,98,0,County Level,Science Club,Class Representative,Lawyer,0
Peter Akinyi, 9,76,77,94,99,0,National Level,Science Club,,Lawyer,0
Ian Wangechi, 6,81,68,55,69,1,0ne,Drama Club,Club Leader,Pharmacist,0
David Kiprop, 9,78,68,82,95,1,0ne,Science Club,,Athlete,0
Grace Nyambura, 7,66,54,92,97,0,School Level,Drama Club,Club Leader,Lawyer,1
Irene Juma, 8,79,64,81,56,1,School Level,0ne,,Artist,0
Lucy Otieno, 7,,90,65,53,0,County Level,Drama Club,Club Leader,Engineer,0
Sarah Mutiso, 12,86,78,67,88,0,School Level,Debate Club,Club Leader,Musician,1
Rose Ochieng, 7,80,83,96,66,1,0ne,Science Club,,Data Scientist,0
Esther Kigen, 6,67,91,93,81,1,National Level,Science Club,,Pilot,0
Samuel Otieno, 12,93,83,55,96,0,National Level,Art Club,Class Representative,Engineer,1
Esther Wairimu, 6,74,90,76,95,1,National Level,Music Club,,Artist,1
Lilian Wanjiru, 9,95,89,88,58,1,National Level,Art Club,Club Leader,Data Scientist,0
Kennedy Juma, 11,52,91,93,82,1,County Level,Drama Club,,Teacher,0
Kevin Otieno, 10,74,76,86,94,1,County Level,Art Club,Class Representative,Artist,1
Andrew Juma, 7,61,93,77,81,0,School Level,0ne,Class Representative,Pilot,1
Lucy Makori, 11,63,80,99,,1,National Level,Art Club,Class Representative,Doctor,0
Ann Mutua, 7,,87,78,89,1,County Level,Music Club,,Accountant,0
Charles Wanjiru, 7,96,65,51,57,0,School Level,Music Club,Club Leader,Doctor,1
Grace Ochieng, 10,74,100,66,75,0,School Level,Art Club,Class Representative,Artist,0
Stella Ngoya, 6,50,84,71,72,0,National Level,0ne,,Teacher,1
John Koome, 10,60,78,82,,1,National Level,Drama Club,Club Leader,Accountant,1
Andrew Doe, 8,,76,67,90,1,0ne,Art Club,Class Representative,Surgeon,0
Brenda Kibet, 12,61,96,56,93,1,School Level,Drama Club,Class Representative,Musician,0
Irene Mutua, 12,85,,52,96,0,0ne,Drama Club,,Teacher,0
Susan Mwikali, 8,,94,80,81,0,School Level,0ne,Club Leader,Pharmacist,0
Irene Kilonzo, 11,,54,,96,0,National Level,0ne,Class Representative,Lawyer,1
Tom Akinyi, 10,56,69,87,93,0,School Level,Drama Club,Class Representative,Athlete,1
Esther Doe, 9,51,61,53,99,0,County Level,Science Club,Club Leader,Athlete,0
Jacinta Kiplangat, 12,69,77,65,86,0,0ne,Music Club,Club Leader,Athlete,1
Joseph Atieno, 12,98,92,80,63,1,0ne,Art Club,Class Representative,Pharmacist,1
Rose Chirchir, 6,,85,,61,0,National Level,Science Club,Club Leader,Pharmacist,1
Dennis Kibera, 8,79,92,70,54,0,County Level,Music Club,Class Representative,Doctor,1
Rose Otieno, 8,53,94,85,62,0,0ne,0ne,Class Representative,Artist,1
Stephen Mutiso, 9,58,72,92,58,0,0ne,Art Club,Class Representative,Data Scientist,1
Dennis Doe, 8,100,90,64,53,1,County Level,Debate Club,Club Leader,Engineer,1
Lilian Otieno, 12,,69,55,60,0,County Level,Art Club,,Data Scientist,0
Peter Doe, 11,68,60,63,98,1,School Level,Music Club,Club Leader,Athlete,1
Linet Mutua, 9,59,56,59,55,0,0ne,Art Club,Class Representative,Teacher,1
Kennedy Oduor, 9,97,77,76,69,0,County Level,Debate Club,,Doctor,1
Henry Mwende, 12,77,56,85,51,0,School Level,Science Club,Club Leader,Athlete,1
Dorcas Akinyi, 11,70,55,81,51,1,County Level,Music Club,,Doctor,0
Lilian Nyambura, 10,65,,91,,1,National Level,0ne,,Accountant,1
Rose Achieng, 10,75,98,92,94,0,County Level,Art Club,Class Representative,Pharmacist,1
Martin Doe, 12,65,68,83,53,1,County Level,Science Club,Club Leader,Lawyer,1
Dennis Kilonzo, 9,79,,89,91,0,0ne,Debate Club,,Athlete,1
Beatrice Doe, 6,57,55,82,55,0,National Level,Science Club,Club Leader,Doctor,1
Susan Juma, 10,82,55,71,73,1,National Level,Science Club,Club Leader,Engineer,0
Beatrice Mutiso, 7,83,54,89,,1,School Level,Drama Club,Club Leader,Surgeon,1
Ann Kirui, 6,68,99,60,,0,County Level,Debate Club,,Doctor,1
Peter Koome, 6,71,96,94,,0,County Level,Drama Club,Class Representative,Engineer,0
James Oduor, 9,,93,57,58,0,School Level,Drama Club,Club Leader,Doctor,0
James Koome, 9,60,80,66,80,0,National Level,0ne,,Lawyer,0
Esther Mutua, 8,,,68,96,0,National Level,Science Club,Class Representative,Musician,1
Peter Otieno, 9,50,94,56,92,0,School Level,Drama Club,,Surgeon,1
Andrew Kamau, 8,75,85,99,67,1,School Level,Science Club,Club Leader,Pilot,1
Martin Wambui, 11,76,,69,57,0,0ne,Science Club,Club Leader,Doctor,1
Brenda Otieno, 8,70,52,,94,1,County Level,Debate Club,Club Leader,Surgeon,0
Esther Atieno, 8,68,65,77,58,0,0ne,Debate Club,Club Leader,Accountant,0
Stephen Mutiso, 6,99,81,80,78,1,School Level,Music Club,Club Leader,Athlete,1
Kevin Wangechi, 8,54,76,95,95,0,School Level,Science Club,,Accountant,1
Kevin Kibet, 12,92,,53,63,1,National Level,Art Club,,Musician,0
Rose Nyakundi, 11,88,84,79,74,1,County Level,Drama Club,Class Representative,Data Scientist,0
Kevin Kilonzo, 12,63,76,81,91,0,County Level,0ne,Class Representative,Musician,1
Alex Oduor, 8,80,86,79,67,0,School Level,Art Club,,Accountant,1
Samuel Juma, 12,71,74,,95,0,National Level,Music Club,,Pharmacist,1
Mary Oduor, 11,68,52,68,87,1,County Level,Drama Club,Class Representative,Pilot,1
Hannah Simiyu, 8,56,63,53,,1,0ne,0ne,Club Leader,Artist,1
Joseph Rono, 7,79,97,74,77,1,0ne,Music Club,Club Leader,Surgeon,1
Esther Otieno, 9,94,100,81,85,0,0ne,Drama Club,,Surgeon,0
Mercy Wangechi, 9,,,57,83,0,0ne,Debate Club,,Musician,1
Tom Otieno, 10,,,74,98,1,County Level,Debate Club,Class Representative,Doctor,0
Jacinta Nduati, 6,81,,68,96,1,0ne,Art Club,Club Leader,Musician,1
Faith Mutiso, 6,52,50,76,97,0,National Level,Debate Club,Club Leader,Engineer,0
David Otieno, 10,53,84,92,93,0,School Level,0ne,Class Representative,Musician,0
Rose Onyango, 8,97,84,62,98,1,School Level,Drama Club,Class Representative,Pharmacist,0
Ann Wanjiru, 7,64,59,88,79,1,0ne,0ne,,Data Scientist,0
Hannah Otieno, 9,84,97,95,61,1,0ne,Drama Club,,Data Scientist,0
Dorcas Kariuki, 7,,71,90,85,0,0ne,Debate Club,Club Leader,Musician,0
Susan Kiprop, 9,,73,92,60,1,County Level,Debate Club,,Data Scientist,0
Dennis Chebet, 11,100,96,82,,0,County Level,Science Club,,Surgeon,1
Peter Kimeu, 10,71,63,99,85,1,School Level,Art Club,Club Leader,Surgeon,0
Tom Otieno, 7,53,96,64,79,0,School Level,Drama Club,,Pilot,0
Tom Chirchir, 10,73,75,80,78,0,0ne,Music Club,Class Representative,Doctor,0
Eliud Koome, 7,64,,93,59,1,0ne,Drama Club,Class Representative,Accountant,0
Dorcas Mutiso, 10,54,,70,,1,School Level,Science Club,Club Leader,Accountant,1
Rose Muthama, 9,74,84,97,65,1,County Level,Music Club,,Accountant,0
Kevin Simiyu, 12,,79,98,50,0,0ne,Drama Club,Club Leader,Lawyer,1
Alex Achieng, 6,,66,89,84,0,National Level,Debate Club,,Lawyer,0
Jacinta Achieng, 6,84,72,90,95,0,School Level,Debate Club,Club Leader,Pharmacist,0
Ann Rono, 9,,91,87,66,0,National Level,Art Club,Class Representative,Lawyer,1
Kennedy Mutua, 8,53,59,98,91,1,National Level,Art Club,Club Leader,Teacher,0
Tom Kilonzo, 9,75,79,65,,1,0ne,Science Club,,Pharmacist,0
Dennis Davis, 11,,92,65,60,0,National Level,0ne,,Artist,0
Mary Kigen, 9,57,96,60,58,1,School Level,Debate Club,Class Representative,Doctor,1
Eliud Davis, 6,,100,70,78,0,0ne,Music Club,,Doctor,1
Grace Mutiso, 9,78,53,96,71,1,County Level,Debate Club,,Surgeon,0
Brenda Njoroge, 11,76,,100,90,0,County Level,Art Club,Club Leader,Athlete,0
Tom Otieno, 12,83,65,98,63,0,School Level,Debate Club,,Pharmacist,0
Charles Koome, 9,74,57,98,59,0,School Level,Art Club,Club Leader,Athlete,0
Brenda Otieno, 7,98,94,60,70,1,0ne,Art Club,Club Leader,Doctor,0
Kevin Kamau, 10,55,,70,97,1,School Level,Science Club,,Pharmacist,0
Charles Onyango, 7,71,98,68,67,1,County Level,Science Club,,Pharmacist,1
Dennis Kiprop, 6,88,57,72,73,1,0ne,Music Club,Class Representative,Pharmacist,1
Elijah Akinyi, 7,54,71,86,57,0,School Level,0ne,Club Leader,Musician,1
Susan Wairimu, 10,81,70,98,86,1,National Level,Debate Club,Club Leader,Pilot,0
David Kariuki, 12,65,98,97,78,0,County Level,Debate Club,Club Leader,Athlete,1
David Kariuki, 7,82,61,99,75,1,School Level,Art Club,,Data Scientist,1
Esther Chirchir, 10,63,,73,79,0,National Level,Science Club,Club Leader,Musician,0
John Mutua, 10,50,72,61,95,1,0ne,Art Club,Club Leader,Surgeon,0
Henry Kiprop, 12,100,,84,,0,School Level,Art Club,,Accountant,0
Rose Chirchir, 6,83,76,74,94,0,County Level,Science Club,Club Leader,Engineer,1
James Njoroge, 11,61,89,56,57,1,0ne,Music Club,,Data Scientist,1
Linet Ngoya, 11,81,66,,88,1,County Level,Music Club,Class Representative,Doctor,1
Joseph Mutiso, 9,90,69,64,83,1,National Level,Art Club,Class Representative,Musician,1
Andrew Doe, 9,,61,,58,0,0ne,Art Club,Class Representative,Engineer,1
Rose Koome, 10,,50,73,74,0,County Level,Science Club,Class Representative,Lawyer,1
Dorcas Koome, 9,60,72,75,56,0,National Level,Debate Club,,Pharmacist,1
Ann Muthama, 11,89,88,80,65,1,National Level,Music Club,Class Representative,Pilot,0
Stephen Kariuki, 7,67,63,71,68,0,County Level,0ne,,Engineer,1
Susan Oduor, 6,96,82,91,91,1,National Level,Drama Club,,Pharmacist,0
Mercy Wangechi, 8,77,59,52,95,1,National Level,Music Club,Club Leader,Doctor,0
Samuel Nyambura, 6,52,51,89,92,1,County Level,0ne,Class Representative,Lawyer,1
Sarah Koome, 10,79,67,68,62,0,0ne,Science Club,,Data Scientist,1
David Mutua, 6,75,53,85,95,1,County Level,Debate Club,Club Leader,Lawyer,0
Francis Kiplangat, 7,88,79,66,64,0,County Level,0ne,Class Representative,Artist,0
Faith Mutua, 12,82,91,56,61,1,School Level,Drama Club,Club Leader,Pharmacist,1
Faith Wanjiru, 8,70,,67,72,1,0ne,Music Club,Club Leader,Artist,0
Francis Nyakundi, 6,51,90,100,90,0,0ne,Debate Club,,Pharmacist,0
Mercy Kiprop, 11,65,77,60,83,0,School Level,0ne,Club Leader,Pilot,0
Francis Kibet, 12,51,56,,67,0,0ne,Science Club,Class Representative,Doctor,1
Stella Nyambura, 7,61,55,69,87,1,School Level,Music Club,Class Representative,Surgeon,0
Sarah Kigen, 11,57,59,98,,0,National Level,0ne,Class Representative,Pilot,1
Charles Wangechi, 8,68,74,87,99,0,County Level,Science Club,Class Representative,Pharmacist,0
Grace Wanjiru, 12,,,,80,1,County Level,Art Club,,Data Scientist,1
Tom Chirchir, 11,53,83,76,53,0,0ne,Art Club,,Pharmacist,0
Faith Akinyi, 9,51,,77,75,0,National Level,Debate Club,Class Representative,Musician,0
Stephen Mwikali, 6,91,76,63,58,0,0ne,0ne,Club Leader,Musician,1
Dennis Chebet, 6,94,,67,97,1,National Level,Debate Club,Class Representative,Doctor,0
Mary Kibera, 11,61,57,,60,0,School Level,Science Club,Club Leader,Musician,1
Susan Kirui, 7,94,91,97,95,1,National Level,Debate Club,Club Leader,Teacher,1
Faith Mutiso, 8,98,97,80,76,1,School Level,Drama Club,Club Leader,Pilot,0
Henry Doe, 8,100,57,70,85,0,National Level,Science Club,Class Representative,Teacher,1
Ann Chebet, 9,65,82,80,76,1,National Level,Science Club,Club Leader,Teacher,0
Grace Nyambura, 11,74,61,67,54,1,National Level,0ne,,Musician,0
Tom Wamuyu, 11,78,64,79,58,0,County Level,Art Club,,Surgeon,1
Joseph Wairimu, 9,69,,97,91,1,National Level,Music Club,Class Representative,Data Scientist,0
Linet Ngoya, 7,95,60,78,73,0,School Level,Science Club,Class Representative,Doctor,1
Eliud Wamuyu, 8,63,97,57,57,0,0ne,Debate Club,Class Representative,Data Scientist,1
Peter Kariuki, 6,57,63,97,79,1,School Level,Debate Club,Club Leader,Doctor,0
Lucy Mutiso, 7,96,,84,82,1,National Level,Debate Club,Class Representative,Artist,1
John Mwende, 7,58,63,87,51,1,School Level,Music Club,Club Leader,Lawyer,1
James Kamau, 12,100,82,65,74,0,National Level,0ne,Club Leader,Lawyer,0
Samuel Oduor, 7,,72,100,92,1,National Level,Debate Club,Club Leader,Musician,0
Rose Kirui, 12,96,78,98,72,0,School Level,Debate Club,Class Representative,Teacher,0
Nelson Ngoya, 6,91,79,,51,0,National Level,Music Club,Class Representative,Doctor,1
David Mutua, 7,73,58,50,99,0,National Level,Debate Club,,Engineer,1
Agnes Simiyu, 12,76,58,85,61,1,County Level,Art Club,Class Representative,Musician,1
Kennedy Juma, 9,53,76,73,76,1,School Level,Art Club,,Doctor,0
Rose Wangechi, 10,50,90,50,68,0,School Level,Music Club,,Teacher,0
Esther Wambui, 9,66,100,92,63,0,School Level,Debate Club,,Doctor,0
John Mutua, 7,60,85,65,74,0,0ne,Music Club,,Doctor,1
Kevin Mutiso, 10,85,78,56,73,1,National Level,0ne,,Surgeon,0
Henry Wambui, 11,,,83,86,0,School Level,Music Club,,Engineer,0
Rose Ochieng, 10,91,90,51,62,0,School Level,Science Club,,Lawyer,0
Dennis Nyakundi, 11,61,58,77,85,1,County Level,0ne,,Accountant,0
Mercy Otieno, 8,77,82,51,83,1,County Level,Science Club,Club Leader,Teacher,0
Rose Njoroge, 11,60,90,70,74,0,County Level,Art Club,Class Representative,Surgeon,1
Mercy Kibera, 11,71,59,91,,1,0ne,0ne,Class Representative,Teacher,1
John Akinyi, 12,59,77,97,94,0,0ne,Debate Club,,Engineer,1
Mary Ochieng, 9,94,64,,83,0,National Level,Art Club,Class Representative,Musician,0
Francis Kirui, 9,51,57,61,73,0,National Level,Music Club,Class Representative,Athlete,1
Ian Mutiso, 9,97,75,55,65,0,0ne,Music Club,Class Representative,Data Scientist,1
Andrew Mwende, 10,92,70,50,99,0,National Level,Debate Club,Club Leader,Artist,0
Alex Kiplangat, 12,62,72,79,58,0,0ne,Science Club,,Musician,1
Jacinta Simiyu, 10,90,82,59,80,0,County Level,Science Club,Club Leader,Lawyer,0
Esther Juma, 8,,89,61,68,1,National Level,Music Club,Club Leader,Engineer,0
Faith Kimeu, 12,84,70,82,79,1,0ne,0ne,,Musician,1
Samuel Kilonzo, 8,,74,,100,0,School Level,Debate Club,,Artist,0
Martin Atieno, 6,92,76,79,77,0,School Level,0ne,Club Leader,Athlete,0
Samuel Kiprop, 10,97,95,66,97,0,School Level,Science Club,,Musician,1
Irene Otieno, 8,61,98,86,67,1,School Level,Art Club,Class Representative,Surgeon,0
